Id,Project Name,Github URLs,SHA
91,joda-time,https://github.com/JodaOrg/joda-time.git,cc35fb2e6e106031fdbf1d1c2be5da6a9eb67c38
92,hamnis.json-collection,https://github.com/hamnis/json-collection.git,b7ea4a958dec1ca14bce120da5a4020e9bcbf262
93,cybergarage.CyberLink4Java,https://github.com/cybergarage/CyberLink4Java.git,9499b03f9cae05c04fce74e65af2730c11682d74
94,bucchi.OAuth2.0ProviderForJava,https://github.com/bucchi/OAuth2.0ProviderForJava.git,db5e1d06ddb51fe63dd30f17a4f1118e433d6b15
95,chirino.hawtbuf,https://github.com/chirino/hawtbuf.git,ca06ee5faa424147b58cef6a1b2f1c2e752cfd60
96,jeremyh.jBCrypt,https://github.com/jeremyh/jBCrypt.git,e015c2c110ab7cf544400893f3543b45f359ff58
97,rystsov.mongodb-transaction-example,https://github.com/rystsovp/mongodb-transaction-example.git,4facc70228b5b6e70cb7ace55d51aaac2efae2c6
98,linux-china.weixin-robot-java,https://github.com/linux-china/weixin-robot-java.git,985b1f68c3b21fb2ae3607aac2554dd6380848d0
99,umermansoor.hadoop-java-example,https://github.com/umermansoor/hadoop-java-example.git,2f1b2a1f4d45e37fd28ad6faa701cf128c8f2e8b
100,linsolas.casperjs-runner-maven-plugin,https://github.com/linsolas/casperjs-runner-maven-plugin.git,ca9bc5ed66a21546802508c3d4337db6ec5ca1bc
101,BrightcoveOS.metrics-graphite-pickle,https://github.com/BrightcoveOS/metrics-graphite-pickle.git,cc3443a7d3f8af1019945ee189ab40853dd35cf5
102,FasterXML.jackson-module-mrbean,https://github.com/FasterXML/jackson-module-mrbean.git,9af7b8287872f79174e9ddf802fe1cefe6009961
103,Frostman.dropbox4j,https://github.com/Frostman/dropbox4j.git,774c817e5bf294d0139ecb5ac81399be50ada5e0
104,javatuples.javatuples,https://github.com/javatuples/javatuples.git,be0c0fb8d4c955ace7dfcbf0c5cf1bf525c2e57e
105,mikera.enlight,https://github.com/mikera/enlight.git,4ad461ca151e67af4607525f86abc133241c57b9
106,jriecken.gae-java-mini-profiler,https://github.com/jriecken/gae-java-mini-profiler.git,80f3a59ebe7bfa02506ff53b63ebeaf63cfbf525
107,pignlproc,https://github.com/ogrisel/pignlproc.git,1a6099806af607c6ee541a19d1be2b68c04dca0f
