project_norm,path,object,status,count_siesta,count_javamop,diff_abs,reason,occurrence_idx
asteriskjava,org/asteriskjava/manager/event/rtcpreceivedeventtest.java:45,doublestaticfactory,truebug,1,0,1,project_only_in_siesta,1
asteriskjava,pbx/internal/core/listenermanager.java:41,treesetcomparable,falsealarm,1,0,1,project_only_in_siesta,1
asteriskjava,net/bytebuddy/description/method/methodlist.java:133,collectionstandardconstructors,falsealarm,1,0,1,project_only_in_siesta,1
asteriskjava,net/bytebuddy/description/method/parameterlist.java:508,collectionstandardconstructors,truebug,1,0,1,project_only_in_siesta,1
asteriskjava,net/bytebuddy/description/bytecodeelement.java:134,collectionstandardconstructors,falsealarm,1,0,1,project_only_in_siesta,1
asteriskjava,pbx/internal/core/listenermanager.java:41,sortedsetcomparable,falsealarm,1,0,1,project_only_in_siesta,1
asteriskjava,ch/qos/logback/classic/spi/turbofilterlist.java:30,collectionstandardconstructors,truebug,1,0,1,project_only_in_siesta,1
asteriskjava,net/bytebuddy/description/annotation/annotationlist.java:217,collectionstandardconstructors,truebug,1,0,1,project_only_in_siesta,1
asteriskjava,org/reflections/reflections.java:226,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
asteriskjava,org/asteriskjava/lock/lockablelist.java:9,collectionstandardconstructors,truebug,1,0,1,project_only_in_siesta,1
asteriskjava,org/asteriskjava/manager/internal/asynceventpump.java:147,priorityqueuenoncomparable,falsealarm,1,0,1,project_only_in_siesta,1
bucchioauth20providerforjava,com/meterware/httpunit/httpunitutils.java:182,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
bucchioauth20providerforjava,com/meterware/servletunit/servletunithttpresponse.java:453,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
bucchioauth20providerforjava,src/com/meterware/servletunit/servletunitcliente.java:82,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
bucchioauth20providerforjava,com/meterware/httpunit /webresponse.java:1119,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
codahaleog,com/google/common/collect/immutablemapentryset.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
codahaleog,com/google/common/collect/regularimmutableaslist.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
codahaleog,com/google/common/collect/immutableaslist.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
codahaleog,com/google/common/collect/regularimmutablemap.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/maven/surefire/api/util/internal/stringutils.java:57,enumerationobsolete,falsealarm,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/server/quorum/quorumpeerconfig.java:238,dictionaryobsolete,falsealarm,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/maven/surefire/api/util/runorder.java:57,enumerationobsolete,falsealarm,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,com/greplin/zookeeper/regressiontest1.java:19,sockettimeout,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/logging/log4j/core/appender/consoleappender.java:242,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/logging/log4j/core/config/plugins/processor/plugincache.java:95,enumerationobsolete,truebug,1,0,1,both_projects_different_multiset,1
